locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
320,"Bearing Factory, Yantai",,37.544126,121.376956,152,43,36,34,8,7,,,0,,,20150318090000
321,"Xijiao Chemical Station, Yantai",,37.547148,121.323695,155,56,45,14,6,10,,,0,,,20150318090000
322,"Fushan Monitoring Stations, Yantai",,37.472245,121.260116,50,40,40,6,20,9,,,0,,,20150318090000
323,"Mouping EPA, Yantai",,37.376681,121.586509,144,62,26,12,4,8,,,0,,,20150318090000
324,"Laishan EPA, Yantai",,37.478422,121.44829,65,22,42,6,8,4,,,0,,,20150318090000
325,"Laishan Shengquan Industrial Park, Yantai",,37.4271,121.408386,91,49,28,21,18,6,,,0,,,20150318090000
326,"China Agricultural University, Yantai",,37.423568,121.511838,82,31,46,12,8,6,,,0,,,20150318090000
327,"BDA EPA, Yantai",,37.560827,121.257954,114,52,36,12,1,8,,,0,,,20150318090000
329,"Dajijia, Yantai",,37.673849,121.071465,137,25,36,18,7,5,,,0,,,20150318090000
330,Yantai,,37.464793,121.453142,127,53,36,26,14,14,,,0,,,20150318090000
331,"BDA, Weifang",,36.720022,119.054064,190,121,9,19,15,9,,,0,,,20150318090000
332,"Business School, Weifang",,36.682442,119.105909,172,98,22,10,33,6,,,0,,,20150318090000
333,"Hanting District, Weifang",,36.773484,119.199705,163,109,21,21,10,7,,,0,,,20150318090000
334,"Gongda Company, Weifang",,36.657635,119.167266,162,88,50,17,17,6,,,0,,,20150318090000
335,"City EPA, Weifang",,36.701272,119.16838,167,71,13,27,15,20,,,0,,,20150318090000
336,"City Arbitration Committee, Weifang",,36.702422,119.145927,172,102,19,21,20,10,,,0,,,20150318090000
337,"Xinhui Group, Weifang",,36.641581,119.11679,178,118,12,22,27,7,,,0,,,20150318090000
338,"Jincheng Middle School, Weifang",,36.773611,119.115539,153,79,15,15,14,8,,,0,,,20150318090000
340,"City Monitoring Station, Jining",,35.408443,116.623917,156,78,10,24,36,15,-,-,0,-,-,20150318090000
1090,"Shengdi Hollidays Resort, Jining",,35.424746,116.699093,107,68,12,20,36,16,12,10,1015,84,2,20150318090000
341,"Sewage treatment plant, Jining",,35.364286,116.609177,154,78,13,16,21,16,-,-,0,-,-,20150318090000
342,"Electrochemical Factory, Jining",,35.390473,116.552956,158,75,19,17,30,12,-,-,0,-,-,20150318090000
343,"Rencheng BDA, Jining",,35.390484,116.662995,156,88,11,16,21,12,-,-,0,-,-,20150318090000
344,"Agricultural School, Jining",,35.44235,116.601682,158,75,6,17,20,11,11,10,1015,92,0,20150318090000
345,"BDA Huojucheng, Jining",,35.436377,116.642953,164,100,11,27,17,15,10,7,1015,82,2,20150318090000
346,Jining,,35.414473,116.59239,167,90,13,26,29,16,10,7,1015,82,2,20150318090000
347,"Taishan monitoring station, Taian",,36.194362,117.159648,119,69,26,23,13,14,-,-,0,-,-,20150318090000
348,"Shandong Electric Power School, Taian",,36.176071,117.12413,124,70,33,18,10,12,-,-,0,-,-,20150318090000
349,"Population Education school, Taian",,36.194417,117.104131,132,59,14,20,12,11,-,-,0,-,-,20150318090000
350,"Houfeng company, Taian",,36.204863,117.19015,104,65,4,17,7,12,-,-,0,-,-,20150318090000
351,"Nongda new campus, Taian",,36.170179,117.165191,91,71,3,19,16,13,8,2,0,58,12,20150318090000
352,"Transportation technical school, Taian",,36.202126,117.047068,164,111,6,21,7,13,8,2,0,58,12,20150318090000
353,"ICT Technology, Taian",,36.116621,117.107458,87,67,15,13,7,15,3,3,0,100,8,20150318090000
